data,ano,mes,dia,nome_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,data_chave
2024-02-14,2024,2,14,Fevereiro,2,Quarta-feira,False,20240214
2024-02-15,2024,2,15,Fevereiro,3,Quinta-feira,False,20240215
2024-02-16,2024,2,16,Fevereiro,4,Sexta-feira,False,20240216
2024-02-17,2024,2,17,Fevereiro,5,Sábado,True,20240217
2024-02-18,2024,2,18,Fevereiro,6,Domingo,True,20240218
2024-02-19,2024,2,19,Fevereiro,0,Segunda-feira,False,20240219
2024-02-20,2024,2,20,Fevereiro,1,Terça-feira,False,20240220
2024-02-21,2024,2,21,Fevereiro,2,Quarta-feira,False,20240221
2024-02-22,2024,2,22,Fevereiro,3,Quinta-feira,False,20240222
2024-02-23,2024,2,23,Fevereiro,4,Sexta-feira,False,20240223
2024-02-24,2024,2,24,Fevereiro,5,Sábado,True,20240224
2024-02-25,2024,2,25,Fevereiro,6,Domingo,True,20240225
2024-02-26,2024,2,26,Fevereiro,0,Segunda-feira,False,20240226
2024-02-27,2024,2,27,Fevereiro,1,Terça-feira,False,20240227
2024-02-28,2024,2,28,Fevereiro,2,Quarta-feira,False,20240228
2024-02-29,2024,2,29,Fevereiro,3,Quinta-feira,False,20240229
2024-03-01,2024,3,1,Março,4,Sexta-feira,False,20240301
2024-03-02,2024,3,2,Março,5,Sábado,True,20240302
2024-03-03,2024,3,3,Março,6,Domingo,True,20240303
2024-03-04,2024,3,4,Março,0,Segunda-feira,False,20240304
2024-03-05,2024,3,5,Março,1,Terça-feira,False,20240305
2024-03-06,2024,3,6,Março,2,Quarta-feira,False,20240306
2024-03-07,2024,3,7,Março,3,Quinta-feira,False,20240307
2024-03-08,2024,3,8,Março,4,Sexta-feira,False,20240308
2024-03-09,2024,3,9,Março,5,Sábado,True,20240309
2024-03-10,2024,3,10,Março,6,Domingo,True,20240310
2024-03-11,2024,3,11,Março,0,Segunda-feira,False,20240311
2024-03-12,2024,3,12,Março,1,Terça-feira,False,20240312
2024-03-13,2024,3,13,Março,2,Quarta-feira,False,20240313
2024-03-14,2024,3,14,Março,3,Quinta-feira,False,20240314
2024-03-15,2024,3,15,Março,4,Sexta-feira,False,20240315
2024-03-16,2024,3,16,Março,5,Sábado,True,20240316
2024-03-17,2024,3,17,Março,6,Domingo,True,20240317
2024-03-18,2024,3,18,Março,0,Segunda-feira,False,20240318
2024-03-19,2024,3,19,Março,1,Terça-feira,False,20240319
2024-03-20,2024,3,20,Março,2,Quarta-feira,False,20240320
2024-03-21,2024,3,21,Março,3,Quinta-feira,False,20240321
2024-03-22,2024,3,22,Março,4,Sexta-feira,False,20240322
2024-03-23,2024,3,23,Março,5,Sábado,True,20240323
2024-03-24,2024,3,24,Março,6,Domingo,True,20240324
2024-03-25,2024,3,25,Março,0,Segunda-feira,False,20240325
2024-03-26,2024,3,26,Março,1,Terça-feira,False,20240326
2024-03-27,2024,3,27,Março,2,Quarta-feira,False,20240327
2024-03-28,2024,3,28,Março,3,Quinta-feira,False,20240328
2024-03-29,2024,3,29,Março,4,Sexta-feira,False,20240329
2024-03-30,2024,3,30,Março,5,Sábado,True,20240330
2024-03-31,2024,3,31,Março,6,Domingo,True,20240331
2024-04-01,2024,4,1,Abril,0,Segunda-feira,False,20240401
2024-04-02,2024,4,2,Abril,1,Terça-feira,False,20240402
2024-04-03,2024,4,3,Abril,2,Quarta-feira,False,20240403
2024-04-04,2024,4,4,Abril,3,Quinta-feira,False,20240404
2024-04-05,2024,4,5,Abril,4,Sexta-feira,False,20240405
2024-04-06,2024,4,6,Abril,5,Sábado,True,20240406
2024-04-07,2024,4,7,Abril,6,Domingo,True,20240407
2024-04-08,2024,4,8,Abril,0,Segunda-feira,False,20240408
2024-04-09,2024,4,9,Abril,1,Terça-feira,False,20240409
2024-04-10,2024,4,10,Abril,2,Quarta-feira,False,20240410
2024-04-11,2024,4,11,Abril,3,Quinta-feira,False,20240411
2024-04-12,2024,4,12,Abril,4,Sexta-feira,False,20240412
2024-04-13,2024,4,13,Abril,5,Sábado,True,20240413
2024-04-14,2024,4,14,Abril,6,Domingo,True,20240414
2024-04-15,2024,4,15,Abril,0,Segunda-feira,False,20240415
2024-04-16,2024,4,16,Abril,1,Terça-feira,False,20240416
2024-04-17,2024,4,17,Abril,2,Quarta-feira,False,20240417
2024-04-18,2024,4,18,Abril,3,Quinta-feira,False,20240418
2024-04-19,2024,4,19,Abril,4,Sexta-feira,False,20240419
2024-04-20,2024,4,20,Abril,5,Sábado,True,20240420
2024-04-21,2024,4,21,Abril,6,Domingo,True,20240421
2024-04-22,2024,4,22,Abril,0,Segunda-feira,False,20240422
2024-04-23,2024,4,23,Abril,1,Terça-feira,False,20240423
2024-04-24,2024,4,24,Abril,2,Quarta-feira,False,20240424
2024-04-25,2024,4,25,Abril,3,Quinta-feira,False,20240425
2024-04-26,2024,4,26,Abril,4,Sexta-feira,False,20240426
2024-04-27,2024,4,27,Abril,5,Sábado,True,20240427
2024-04-28,2024,4,28,Abril,6,Domingo,True,20240428
2024-04-29,2024,4,29,Abril,0,Segunda-feira,False,20240429
2024-04-30,2024,4,30,Abril,1,Terça-feira,False,20240430
2024-05-01,2024,5,1,Maio,2,Quarta-feira,False,20240501
2024-05-02,2024,5,2,Maio,3,Quinta-feira,False,20240502
2024-05-03,2024,5,3,Maio,4,Sexta-feira,False,20240503
2024-05-04,2024,5,4,Maio,5,Sábado,True,20240504
2024-05-05,2024,5,5,Maio,6,Domingo,True,20240505
2024-05-06,2024,5,6,Maio,0,Segunda-feira,False,20240506
2024-05-07,2024,5,7,Maio,1,Terça-feira,False,20240507
2024-05-08,2024,5,8,Maio,2,Quarta-feira,False,20240508
2024-05-09,2024,5,9,Maio,3,Quinta-feira,False,20240509
2024-05-10,2024,5,10,Maio,4,Sexta-feira,False,20240510
2024-05-11,2024,5,11,Maio,5,Sábado,True,20240511
2024-05-12,2024,5,12,Maio,6,Domingo,True,20240512
2024-05-13,2024,5,13,Maio,0,Segunda-feira,False,20240513
2024-05-14,2024,5,14,Maio,1,Terça-feira,False,20240514
2024-05-15,2024,5,15,Maio,2,Quarta-feira,False,20240515
2024-05-16,2024,5,16,Maio,3,Quinta-feira,False,20240516
2024-05-17,2024,5,17,Maio,4,Sexta-feira,False,20240517
2024-05-18,2024,5,18,Maio,5,Sábado,True,20240518
2024-05-19,2024,5,19,Maio,6,Domingo,True,20240519
2024-05-20,2024,5,20,Maio,0,Segunda-feira,False,20240520
2024-05-21,2024,5,21,Maio,1,Terça-feira,False,20240521
2024-05-22,2024,5,22,Maio,2,Quarta-feira,False,20240522
2024-05-23,2024,5,23,Maio,3,Quinta-feira,False,20240523
2024-05-24,2024,5,24,Maio,4,Sexta-feira,False,20240524
2024-05-25,2024,5,25,Maio,5,Sábado,True,20240525
2024-05-26,2024,5,26,Maio,6,Domingo,True,20240526
2024-05-27,2024,5,27,Maio,0,Segunda-feira,False,20240527
2024-05-28,2024,5,28,Maio,1,Terça-feira,False,20240528
2024-05-29,2024,5,29,Maio,2,Quarta-feira,False,20240529
2024-05-30,2024,5,30,Maio,3,Quinta-feira,False,20240530
2024-05-31,2024,5,31,Maio,4,Sexta-feira,False,20240531
2024-06-01,2024,6,1,Junho,5,Sábado,True,20240601
2024-06-02,2024,6,2,Junho,6,Domingo,True,20240602
2024-06-03,2024,6,3,Junho,0,Segunda-feira,False,20240603
2024-06-04,2024,6,4,Junho,1,Terça-feira,False,20240604
2024-06-05,2024,6,5,Junho,2,Quarta-feira,False,20240605
2024-06-06,2024,6,6,Junho,3,Quinta-feira,False,20240606
2024-06-07,2024,6,7,Junho,4,Sexta-feira,False,20240607
2024-06-08,2024,6,8,Junho,5,Sábado,True,20240608
2024-06-09,2024,6,9,Junho,6,Domingo,True,20240609
2024-06-10,2024,6,10,Junho,0,Segunda-feira,False,20240610
2024-06-11,2024,6,11,Junho,1,Terça-feira,False,20240611
2024-06-12,2024,6,12,Junho,2,Quarta-feira,False,20240612
2024-06-13,2024,6,13,Junho,3,Quinta-feira,False,20240613
2024-06-14,2024,6,14,Junho,4,Sexta-feira,False,20240614
2024-06-15,2024,6,15,Junho,5,Sábado,True,20240615
2024-06-16,2024,6,16,Junho,6,Domingo,True,20240616
2024-06-17,2024,6,17,Junho,0,Segunda-feira,False,20240617
2024-06-18,2024,6,18,Junho,1,Terça-feira,False,20240618
2024-06-19,2024,6,19,Junho,2,Quarta-feira,False,20240619
2024-06-20,2024,6,20,Junho,3,Quinta-feira,False,20240620
2024-06-21,2024,6,21,Junho,4,Sexta-feira,False,20240621
2024-06-22,2024,6,22,Junho,5,Sábado,True,20240622
2024-06-23,2024,6,23,Junho,6,Domingo,True,20240623
2024-06-24,2024,6,24,Junho,0,Segunda-feira,False,20240624
2024-06-25,2024,6,25,Junho,1,Terça-feira,False,20240625
2024-06-26,2024,6,26,Junho,2,Quarta-feira,False,20240626
2024-06-27,2024,6,27,Junho,3,Quinta-feira,False,20240627
2024-06-28,2024,6,28,Junho,4,Sexta-feira,False,20240628
2024-06-29,2024,6,29,Junho,5,Sábado,True,20240629
2024-06-30,2024,6,30,Junho,6,Domingo,True,20240630
2024-07-01,2024,7,1,Julho,0,Segunda-feira,False,20240701
2024-07-02,2024,7,2,Julho,1,Terça-feira,False,20240702
2024-07-03,2024,7,3,Julho,2,Quarta-feira,False,20240703
2024-07-04,2024,7,4,Julho,3,Quinta-feira,False,20240704
2024-07-05,2024,7,5,Julho,4,Sexta-feira,False,20240705
2024-07-06,2024,7,6,Julho,5,Sábado,True,20240706
2024-07-07,2024,7,7,Julho,6,Domingo,True,20240707
2024-07-08,2024,7,8,Julho,0,Segunda-feira,False,20240708
2024-07-09,2024,7,9,Julho,1,Terça-feira,False,20240709
2024-07-10,2024,7,10,Julho,2,Quarta-feira,False,20240710
2024-07-11,2024,7,11,Julho,3,Quinta-feira,False,20240711
2024-07-12,2024,7,12,Julho,4,Sexta-feira,False,20240712
2024-07-13,2024,7,13,Julho,5,Sábado,True,20240713
2024-07-14,2024,7,14,Julho,6,Domingo,True,20240714
2024-07-15,2024,7,15,Julho,0,Segunda-feira,False,20240715
2024-07-16,2024,7,16,Julho,1,Terça-feira,False,20240716
2024-07-17,2024,7,17,Julho,2,Quarta-feira,False,20240717
2024-07-18,2024,7,18,Julho,3,Quinta-feira,False,20240718
2024-07-19,2024,7,19,Julho,4,Sexta-feira,False,20240719
2024-07-20,2024,7,20,Julho,5,Sábado,True,20240720
2024-07-21,2024,7,21,Julho,6,Domingo,True,20240721
2024-07-22,2024,7,22,Julho,0,Segunda-feira,False,20240722
2024-07-23,2024,7,23,Julho,1,Terça-feira,False,20240723
2024-07-24,2024,7,24,Julho,2,Quarta-feira,False,20240724
2024-07-25,2024,7,25,Julho,3,Quinta-feira,False,20240725
2024-07-26,2024,7,26,Julho,4,Sexta-feira,False,20240726
2024-07-27,2024,7,27,Julho,5,Sábado,True,20240727
2024-07-28,2024,7,28,Julho,6,Domingo,True,20240728
2024-07-29,2024,7,29,Julho,0,Segunda-feira,False,20240729
2024-07-30,2024,7,30,Julho,1,Terça-feira,False,20240730
2024-07-31,2024,7,31,Julho,2,Quarta-feira,False,20240731
2024-08-01,2024,8,1,Agosto,3,Quinta-feira,False,20240801
2024-08-02,2024,8,2,Agosto,4,Sexta-feira,False,20240802
2024-08-03,2024,8,3,Agosto,5,Sábado,True,20240803
2024-08-04,2024,8,4,Agosto,6,Domingo,True,20240804
2024-08-05,2024,8,5,Agosto,0,Segunda-feira,False,20240805
2024-08-06,2024,8,6,Agosto,1,Terça-feira,False,20240806
2024-08-07,2024,8,7,Agosto,2,Quarta-feira,False,20240807
2024-08-08,2024,8,8,Agosto,3,Quinta-feira,False,20240808
2024-08-09,2024,8,9,Agosto,4,Sexta-feira,False,20240809
2024-08-10,2024,8,10,Agosto,5,Sábado,True,20240810
2024-08-11,2024,8,11,Agosto,6,Domingo,True,20240811
2024-08-12,2024,8,12,Agosto,0,Segunda-feira,False,20240812
2024-08-13,2024,8,13,Agosto,1,Terça-feira,False,20240813
2024-08-14,2024,8,14,Agosto,2,Quarta-feira,False,20240814
2024-08-15,2024,8,15,Agosto,3,Quinta-feira,False,20240815
2024-08-16,2024,8,16,Agosto,4,Sexta-feira,False,20240816
2024-08-17,2024,8,17,Agosto,5,Sábado,True,20240817
2024-08-18,2024,8,18,Agosto,6,Domingo,True,20240818
2024-08-19,2024,8,19,Agosto,0,Segunda-feira,False,20240819
2024-08-20,2024,8,20,Agosto,1,Terça-feira,False,20240820
2024-08-21,2024,8,21,Agosto,2,Quarta-feira,False,20240821
2024-08-22,2024,8,22,Agosto,3,Quinta-feira,False,20240822
2024-08-23,2024,8,23,Agosto,4,Sexta-feira,False,20240823
2024-08-24,2024,8,24,Agosto,5,Sábado,True,20240824
2024-08-25,2024,8,25,Agosto,6,Domingo,True,20240825
2024-08-26,2024,8,26,Agosto,0,Segunda-feira,False,20240826
2024-08-27,2024,8,27,Agosto,1,Terça-feira,False,20240827
2024-08-28,2024,8,28,Agosto,2,Quarta-feira,False,20240828
2024-08-29,2024,8,29,Agosto,3,Quinta-feira,False,20240829
2024-08-30,2024,8,30,Agosto,4,Sexta-feira,False,20240830
2024-08-31,2024,8,31,Agosto,5,Sábado,True,20240831
2024-09-01,2024,9,1,Setembro,6,Domingo,True,20240901
2024-09-02,2024,9,2,Setembro,0,Segunda-feira,False,20240902
2024-09-03,2024,9,3,Setembro,1,Terça-feira,False,20240903
2024-09-04,2024,9,4,Setembro,2,Quarta-feira,False,20240904
2024-09-05,2024,9,5,Setembro,3,Quinta-feira,False,20240905
2024-09-06,2024,9,6,Setembro,4,Sexta-feira,False,20240906
2024-09-07,2024,9,7,Setembro,5,Sábado,True,20240907
2024-09-08,2024,9,8,Setembro,6,Domingo,True,20240908
2024-09-09,2024,9,9,Setembro,0,Segunda-feira,False,20240909
2024-09-10,2024,9,10,Setembro,1,Terça-feira,False,20240910
2024-09-11,2024,9,11,Setembro,2,Quarta-feira,False,20240911
2024-09-12,2024,9,12,Setembro,3,Quinta-feira,False,20240912
2024-09-13,2024,9,13,Setembro,4,Sexta-feira,False,20240913
2024-09-14,2024,9,14,Setembro,5,Sábado,True,20240914
2024-09-15,2024,9,15,Setembro,6,Domingo,True,20240915
2024-09-16,2024,9,16,Setembro,0,Segunda-feira,False,20240916
2024-09-17,2024,9,17,Setembro,1,Terça-feira,False,20240917
2024-09-18,2024,9,18,Setembro,2,Quarta-feira,False,20240918
2024-09-19,2024,9,19,Setembro,3,Quinta-feira,False,20240919
2024-09-20,2024,9,20,Setembro,4,Sexta-feira,False,20240920
2024-09-21,2024,9,21,Setembro,5,Sábado,True,20240921
2024-09-22,2024,9,22,Setembro,6,Domingo,True,20240922
2024-09-23,2024,9,23,Setembro,0,Segunda-feira,False,20240923
2024-09-24,2024,9,24,Setembro,1,Terça-feira,False,20240924
2024-09-25,2024,9,25,Setembro,2,Quarta-feira,False,20240925
2024-09-26,2024,9,26,Setembro,3,Quinta-feira,False,20240926
2024-09-27,2024,9,27,Setembro,4,Sexta-feira,False,20240927
2024-09-28,2024,9,28,Setembro,5,Sábado,True,20240928
2024-09-29,2024,9,29,Setembro,6,Domingo,True,20240929
2024-09-30,2024,9,30,Setembro,0,Segunda-feira,False,20240930
2024-10-01,2024,10,1,Outubro,1,Terça-feira,False,20241001
2024-10-02,2024,10,2,Outubro,2,Quarta-feira,False,20241002
2024-10-03,2024,10,3,Outubro,3,Quinta-feira,False,20241003
2024-10-04,2024,10,4,Outubro,4,Sexta-feira,False,20241004
2024-10-05,2024,10,5,Outubro,5,Sábado,True,20241005
2024-10-06,2024,10,6,Outubro,6,Domingo,True,20241006
2024-10-07,2024,10,7,Outubro,0,Segunda-feira,False,20241007
2024-10-08,2024,10,8,Outubro,1,Terça-feira,False,20241008
2024-10-09,2024,10,9,Outubro,2,Quarta-feira,False,20241009
2024-10-10,2024,10,10,Outubro,3,Quinta-feira,False,20241010
2024-10-11,2024,10,11,Outubro,4,Sexta-feira,False,20241011
2024-10-12,2024,10,12,Outubro,5,Sábado,True,20241012
2024-10-13,2024,10,13,Outubro,6,Domingo,True,20241013
2024-10-14,2024,10,14,Outubro,0,Segunda-feira,False,20241014
2024-10-15,2024,10,15,Outubro,1,Terça-feira,False,20241015
2024-10-16,2024,10,16,Outubro,2,Quarta-feira,False,20241016
2024-10-17,2024,10,17,Outubro,3,Quinta-feira,False,20241017
2024-10-18,2024,10,18,Outubro,4,Sexta-feira,False,20241018
2024-10-19,2024,10,19,Outubro,5,Sábado,True,20241019
2024-10-20,2024,10,20,Outubro,6,Domingo,True,20241020
2024-10-21,2024,10,21,Outubro,0,Segunda-feira,False,20241021
2024-10-22,2024,10,22,Outubro,1,Terça-feira,False,20241022
2024-10-23,2024,10,23,Outubro,2,Quarta-feira,False,20241023
2024-10-24,2024,10,24,Outubro,3,Quinta-feira,False,20241024
2024-10-25,2024,10,25,Outubro,4,Sexta-feira,False,20241025
2024-10-26,2024,10,26,Outubro,5,Sábado,True,20241026
2024-10-27,2024,10,27,Outubro,6,Domingo,True,20241027
2024-10-28,2024,10,28,Outubro,0,Segunda-feira,False,20241028
2024-10-29,2024,10,29,Outubro,1,Terça-feira,False,20241029
2024-10-30,2024,10,30,Outubro,2,Quarta-feira,False,20241030
2024-10-31,2024,10,31,Outubro,3,Quinta-feira,False,20241031
2024-11-01,2024,11,1,Novembro,4,Sexta-feira,False,20241101
2024-11-02,2024,11,2,Novembro,5,Sábado,True,20241102
2024-11-03,2024,11,3,Novembro,6,Domingo,True,20241103
2024-11-04,2024,11,4,Novembro,0,Segunda-feira,False,20241104
2024-11-05,2024,11,5,Novembro,1,Terça-feira,False,20241105
2024-11-06,2024,11,6,Novembro,2,Quarta-feira,False,20241106
2024-11-07,2024,11,7,Novembro,3,Quinta-feira,False,20241107
2024-11-08,2024,11,8,Novembro,4,Sexta-feira,False,20241108
2024-11-09,2024,11,9,Novembro,5,Sábado,True,20241109
2024-11-10,2024,11,10,Novembro,6,Domingo,True,20241110
2024-11-11,2024,11,11,Novembro,0,Segunda-feira,False,20241111
2024-11-12,2024,11,12,Novembro,1,Terça-feira,False,20241112
2024-11-13,2024,11,13,Novembro,2,Quarta-feira,False,20241113
2024-11-14,2024,11,14,Novembro,3,Quinta-feira,False,20241114
2024-11-15,2024,11,15,Novembro,4,Sexta-feira,False,20241115
2024-11-16,2024,11,16,Novembro,5,Sábado,True,20241116
2024-11-17,2024,11,17,Novembro,6,Domingo,True,20241117
2024-11-18,2024,11,18,Novembro,0,Segunda-feira,False,20241118
2024-11-19,2024,11,19,Novembro,1,Terça-feira,False,20241119
2024-11-20,2024,11,20,Novembro,2,Quarta-feira,False,20241120
2024-11-21,2024,11,21,Novembro,3,Quinta-feira,False,20241121
2024-11-22,2024,11,22,Novembro,4,Sexta-feira,False,20241122
2024-11-23,2024,11,23,Novembro,5,Sábado,True,20241123
2024-11-24,2024,11,24,Novembro,6,Domingo,True,20241124
2024-11-25,2024,11,25,Novembro,0,Segunda-feira,False,20241125
2024-11-26,2024,11,26,Novembro,1,Terça-feira,False,20241126
2024-11-27,2024,11,27,Novembro,2,Quarta-feira,False,20241127
2024-11-28,2024,11,28,Novembro,3,Quinta-feira,False,20241128
2024-11-29,2024,11,29,Novembro,4,Sexta-feira,False,20241129
2024-11-30,2024,11,30,Novembro,5,Sábado,True,20241130
2024-12-01,2024,12,1,Dezembro,6,Domingo,True,20241201
2024-12-02,2024,12,2,Dezembro,0,Segunda-feira,False,20241202
2024-12-03,2024,12,3,Dezembro,1,Terça-feira,False,20241203
2024-12-04,2024,12,4,Dezembro,2,Quarta-feira,False,20241204
2024-12-05,2024,12,5,Dezembro,3,Quinta-feira,False,20241205
2024-12-06,2024,12,6,Dezembro,4,Sexta-feira,False,20241206
2024-12-07,2024,12,7,Dezembro,5,Sábado,True,20241207
2024-12-08,2024,12,8,Dezembro,6,Domingo,True,20241208
2024-12-09,2024,12,9,Dezembro,0,Segunda-feira,False,20241209
2024-12-10,2024,12,10,Dezembro,1,Terça-feira,False,20241210
2024-12-11,2024,12,11,Dezembro,2,Quarta-feira,False,20241211
2024-12-12,2024,12,12,Dezembro,3,Quinta-feira,False,20241212
2024-12-13,2024,12,13,Dezembro,4,Sexta-feira,False,20241213
2024-12-14,2024,12,14,Dezembro,5,Sábado,True,20241214
2024-12-15,2024,12,15,Dezembro,6,Domingo,True,20241215
2024-12-16,2024,12,16,Dezembro,0,Segunda-feira,False,20241216
2024-12-17,2024,12,17,Dezembro,1,Terça-feira,False,20241217
2024-12-18,2024,12,18,Dezembro,2,Quarta-feira,False,20241218
2024-12-19,2024,12,19,Dezembro,3,Quinta-feira,False,20241219
2024-12-20,2024,12,20,Dezembro,4,Sexta-feira,False,20241220
2024-12-21,2024,12,21,Dezembro,5,Sábado,True,20241221
2024-12-22,2024,12,22,Dezembro,6,Domingo,True,20241222
2024-12-23,2024,12,23,Dezembro,0,Segunda-feira,False,20241223
2024-12-24,2024,12,24,Dezembro,1,Terça-feira,False,20241224
2024-12-25,2024,12,25,Dezembro,2,Quarta-feira,False,20241225
2024-12-26,2024,12,26,Dezembro,3,Quinta-feira,False,20241226
2024-12-27,2024,12,27,Dezembro,4,Sexta-feira,False,20241227
2024-12-28,2024,12,28,Dezembro,5,Sábado,True,20241228
2024-12-29,2024,12,29,Dezembro,6,Domingo,True,20241229
2024-12-30,2024,12,30,Dezembro,0,Segunda-feira,False,20241230
2024-12-31,2024,12,31,Dezembro,1,Terça-feira,False,20241231
